entropy,length,keyword_count,special_char_ratio,label,base_sample_id,session_id,timestamp
4.7872,59,0,0.1017,0,ben_0380,sess_0001,1787236276
4.8414,97,6,0.1856,1,mal_0013,sess_0001,1787236281
4.6667,58,0,0.1034,0,ben_0360,sess_0001,1787236286
4.6696,60,1,0.1667,0,ben_0402,sess_0001,1787236287
4.935,111,0,0.1532,0,ben_0354,sess_0001,1787236288
4.7546,65,0,0.1077,0,ben_0230,sess_0001,1787236292
2.7574,25,1,0.28,1,mal_0001,sess_0001,1787236297
4.6841,86,0,0.1395,0,ben_0130,sess_0001,1787236298
4.4235,50,1,0.18,0,ben_0412,sess_0002,1787236302
4.69,76,0,0.1579,0,ben_0143,sess_0002,1787236305
4.4885,48,0,0.1042,0,ben_raw_0010,sess_0002,1787236310
4.6807,85,0,0.1412,0,ben_0029,sess_0002,1787236311
4.6995,81,0,0.1358,0,ben_0347,sess_0002,1787236313
4.8856,67,0,0.1194,0,ben_0112,sess_0002,1787236314
4.7284,64,0,0.1094,0,ben_0280,sess_0003,1787236315
4.3736,30,1,0.4333,1,mal_0010,sess_0003,1787236319
4.7811,62,0,0.0968,0,ben_0356,sess_0003,1787236324
4.7325,84,0,0.1667,0,ben_0357,sess_0004,1787236327
4.9617,109,0,0.1835,0,ben_0284,sess_0004,1787236331
4.8349,98,0,0.1633,0,ben_0119,sess_0004,1787236333
4.3959,70,3,0.1571,1,mal_0012,sess_0004,1787236338
4.8513,114,0,0.1667,0,ben_0088,sess_0004,1787236342
4.8004,85,0,0.1647,0,ben_0350,sess_0004,1787236343
3.2389,13,1,0.3077,1,mal_0007,sess_0005,1787236347
3.7802,41,3,0.5122,1,mal_0011,sess_0005,1787236350
3.809,65,3,0.1385,1,mal_0011,sess_0005,1787236352
4.8696,60,0,0.1333,0,ben_0060,sess_0005,1787236354
4.6955,56,0,0.1071,0,ben_0181,sess_0005,1787236358
4.769,62,0,0.1129,0,ben_0187,sess_0005,1787236361
4.801,96,0,0.1667,0,ben_0302,sess_0005,1787236363
4.9786,112,0,0.1696,0,ben_0006,sess_0005,1787236364
4.589,61,0,0.0984,0,ben_0031,sess_0006,1787236369
4.8164,64,0,0.125,0,ben_0232,sess_0006,1787236372
4.9608,109,0,0.1743,0,ben_0240,sess_0006,1787236373
2.7365,39,1,0.1795,1,mal_0001,sess_0006,1787236376
3.9876,47,3,0.1915,1,mal_0011,sess_0006,1787236379
4.6271,62,0,0.1613,0,ben_raw_0001,sess_0006,1787236383
3.7721,24,0,0.1667,0,ben_raw_0012,sess_0006,1787236388
4.5582,92,0,0.1196,0,ben_0141,sess_0006,1787236393
